itle,Type,Genre,ReleaseYear,Rating,Duration,Country,Score,Decade,ScoreColor,isSeries
Title 1407,Movie,Romance,2019,G,2 Seasons,United Kingdom,1,2010,"#CC3300",false
Title 1408,Movie,Romance,1982,PG-13,3 Seasons,Japan,0,1980,"#FF0000",false
Title 1409,TV Show,Action,1973,TV-MA,162 min,Australia,0,1970,"#FF0000",true
Title 1410,Movie,Comedy,2022,TV-14,2 Seasons,United States,5,2020,"#00FF00",false
Title 1411,Movie,Comedy,2016,G,2 Seasons,Australia,2,2010,"#996600",false
Title 1412,TV Show,Action,2010,G,2 Seasons,India,4,2010,"#32CC00",false
Title 1413,TV Show,Horror,1968,TV-MA,132 min,South Korea,0,1960,"#FF0000",true
Title 1414,TV Show,Thriller,2009,PG,145 min,United States,1,2000,"#CC3300",true
Title 1415,TV Show,Sci-Fi,1967,TV-MA,1 Seasons,Australia,3,1960,"#659900",false
Title 1416,Movie,Drama,2020,TV-14,68 min,Australia,1,2020,"#CC3300",true
Title 1417,TV Show,Comedy,1964,PG-13,2 Seasons,United Kingdom,2,1960,"#996600",false
Title 1418,Movie,Horror,2012,PG-13,1 Seasons,United Kingdom,5,2010,"#00FF00",false
Title 1419,Movie,Comedy,2022,R,60 min,Australia,0,2020,"#FF0000",true
Title 1420,Movie,Romance,2016,TV-14,60 min,India,5,2010,"#00FF00",true
Title 1421,TV Show,Action,2018,R,2 Seasons,Australia,3,2010,"#659900",false
Title 1422,TV Show,Comedy,1972,PG,135 min,United Kingdom,1,1970,"#CC3300",true
Title 1423,TV Show,Romance,1981,PG,2 Seasons,United Kingdom,5,1980,"#00FF00",false
Title 1424,Movie,Horror,1972,PG,1 Seasons,India,3,1970,"#659900",false
Title 1425,TV Show,Thriller,2014,PG-13,96 min,United States,1,2010,"#CC3300",true
Title 1426,Movie,Horror,2002,TV-14,131 min,United Kingdom,0,2000,"#FF0000",true
Title 1427,Movie,Horror,1990,PG,90 min,Canada,5,1990,"#00FF00",true
Title 1428,TV Show,Action,1992,TV-14,136 min,South Korea,4,1990,"#32CC00",true
Title 1429,Movie,Documentary,1964,G,3 Seasons,United States,1,1960,"#CC3300",false
Title 1430,Movie,Action,1956,TV-14,1 Seasons,Canada,3,1950,"#659900",false
Title 1431,Movie,Documentary,2014,PG-13,139 min,Canada,2,2010,"#996600",true
Title 1432,TV Show,Comedy,1975,PG-13,164 min,South Korea,5,1970,"#00FF00",true
Title 1433,TV Show,Documentary,1978,R,3 Seasons,Japan,2,1970,"#996600",false
Title 1434,TV Show,Sci-Fi,1992,PG-13,134 min,United Kingdom,2,1990,"#996600",true
Title 1435,Movie,Drama,1954,TV-PG,2 Seasons,Australia,4,1950,"#32CC00",false
Title 1436,TV Show,Sci-Fi,2011,R,3 Seasons,Japan,3,2010,"#659900",false
Title 1437,Movie,Documentary,2001,R,156 min,India,0,2000,"#FF0000",true
Title 1438,Movie,Romance,1972,PG,77 min,Germany,3,1970,"#659900",true
Title 1439,TV Show,Action,1986,PG,115 min,United States,0,1980,"#FF0000",true
Title 1440,Movie,Horror,1962,TV-PG,136 min,Japan,1,1960,"#CC3300",true
Title 1441,TV Show,Sci-Fi,1985,R,128 min,South Korea,5,1980,"#00FF00",true
Title 1442,TV Show,Drama,1966,G,1 Seasons,Canada,5,1960,"#00FF00",false
Title 1443,TV Show,Sci-Fi,1986,PG-13,92 min,Germany,3,1980,"#659900",true
Title 1444,Movie,Drama,1956,R,173 min,Australia,1,1950,"#CC3300",true
Title 1445,TV Show,Comedy,2011,R,79 min,Australia,2,2010,"#996600",true
Title 1446,Movie,Action,1960,R,125 min,South Korea,1,1960,"#CC3300",true
Title 1447,Movie,Romance,2005,G,1 Seasons,Japan,2,2000,"#996600",false
Title 1448,Movie,Horror,2012,PG-13,1 Seasons,South Korea,0,2010,"#FF0000",false
Title 1449,Movie,Sci-Fi,1998,PG,1 Seasons,Australia,2,1990,"#996600",false
Title 1450,Movie,Comedy,1998,PG,2 Seasons,United States,2,1990,"#996600",false
Title 1451,Movie,Romance,2002,TV-MA,82 min,United Kingdom,5,2000,"#00FF00",true
Title 1452,TV Show,Drama,2005,PG,3 Seasons,South Korea,1,2000,"#CC3300",false
Title 1453,TV Show,Action,1976,TV-14,171 min,United States,0,1970,"#FF0000",true
Title 1454,TV Show,Romance,1989,TV-PG,2 Seasons,Germany,4,1980,"#32CC00",false
Title 1455,Movie,Horror,1961,TV-MA,173 min,Germany,3,1960,"#659900",true
Title 1456,Movie,Drama,1968,G,3 Seasons,Germany,4,1960,"#32CC00",false
Title 1457,Movie,Drama,1987,PG,117 min,Australia,2,1980,"#996600",true
Title 1458,TV Show,Thriller,2023,TV-14,109 min,Australia,2,2020,"#996600",true
Title 1459,Movie,Documentary,1983,R,1 Seasons,Canada,4,1980,"#32CC00",false
Title 1460,Movie,Sci-Fi,1975,R,3 Seasons,Germany,4,1970,"#32CC00",false
Title 1461,Movie,Thriller,1990,TV-PG,110 min,Japan,3,1990,"#659900",true
Title 1462,Movie,Documentary,1952,R,3 Seasons,United States,4,1950,"#32CC00",false
Title 1463,Movie,Thriller,1963,G,2 Seasons,Germany,5,1960,"#00FF00",false
Title 1464,Movie,Action,2016,R,77 min,Japan,2,2010,"#996600",true
Title 1465,Movie,Horror,1989,TV-MA,86 min,United Kingdom,5,1980,"#00FF00",true
Title 1466,Movie,Thriller,1980,PG,167 min,United States,2,1980,"#996600",true
Title 1467,Movie,Horror,1981,PG,97 min,South Korea,2,1980,"#996600",true
Title 1468,Movie,Horror,1991,PG,78 min,United States,0,1990,"#FF0000",true
Title 1469,TV Show,Thriller,1976,PG,2 Seasons,United States,0,1970,"#FF0000",false
Title 1470,Movie,Drama,2009,G,3 Seasons,Canada,3,2000,"#659900",false
Title 1471,Movie,Thriller,1976,TV-MA,3 Seasons,United Kingdom,0,1970,"#FF0000",false
Title 1472,TV Show,Action,1961,G,130 min,South Korea,1,1960,"#CC3300",true
Title 1473,Movie,Drama,2002,PG,114 min,Canada,5,2000,"#00FF00",true
Title 1474,Movie,Romance,1959,TV-MA,2 Seasons,Japan,2,1950,"#996600",false
Title 1475,Movie,Horror,1989,TV-MA,108 min,Australia,0,1980,"#FF0000",true
Title 1476,Movie,Thriller,1983,PG,1 Seasons,United Kingdom,0,1980,"#FF0000",false
Title 1477,TV Show,Action,2013,PG-13,99 min,Canada,5,2010,"#00FF00",true
Title 1478,TV Show,Sci-Fi,2010,TV-PG,81 min,Germany,4,2010,"#32CC00",true
Title 1479,TV Show,Romance,2018,TV-14,107 min,Australia,5,2010,"#00FF00",true
Title 1480,Movie,Horror,2022,PG-13,122 min,Germany,0,2020,"#FF0000",true
Title 1481,Movie,Thriller,1980,PG,113 min,India,4,1980,"#32CC00",true
Title 1482,TV Show,Documentary,1963,PG,136 min,United States,2,1960,"#996600",true
Title 1483,TV Show,Sci-Fi,1988,TV-14,1 Seasons,India,4,1980,"#32CC00",false
Title 1484,TV Show,Comedy,1987,TV-MA,2 Seasons,South Korea,3,1980,"#659900",false
Title 1485,TV Show,Thriller,1956,TV-PG,72 min,South Korea,2,1950,"#996600",true
Title 1486,TV Show,Sci-Fi,1959,TV-14,140 min,South Korea,5,1950,"#00FF00",true
Title 1487,Movie,Thriller,1996,PG,172 min,Germany,2,1990,"#996600",true
Title 1488,TV Show,Comedy,1986,PG-13,1 Seasons,United Kingdom,0,1980,"#FF0000",false
Title 1489,Movie,Drama,1973,TV-MA,3 Seasons,United States,1,1970,"#CC3300",false
Title 1490,Movie,Horror,2020,PG-13,129 min,United States,3,2020,"#659900",true
Title 1491,Movie,Romance,1964,TV-PG,1 Seasons,Germany,1,1960,"#CC3300",false
Title 1492,Movie,Documentary,1953,TV-14,163 min,Germany,4,1950,"#32CC00",true
Title 1493,Movie,Action,1981,PG,3 Seasons,United Kingdom,0,1980,"#FF0000",false
Title 1494,Movie,Thriller,2009,TV-PG,2 Seasons,South Korea,3,2000,"#659900",false
Title 1495,TV Show,Sci-Fi,2006,PG-13,2 Seasons,Germany,3,2000,"#659900",false
Title 1496,TV Show,Comedy,1984,PG-13,3 Seasons,United States,5,1980,"#00FF00",false
Title 1497,Movie,Drama,1953,TV-14,115 min,United Kingdom,3,1950,"#659900",true
Title 1498,TV Show,Sci-Fi,1968,R,91 min,India,3,1960,"#659900",true
Title 1499,Movie,Romance,1996,TV-PG,85 min,Japan,2,1990,"#996600",true
Title 1500,TV Show,Comedy,1990,TV-14,129 min,United States,5,1990,"#00FF00",true
Title 1501,Movie,Romance,1960,TV-MA,104 min,United States,4,1960,"#32CC00",true
Title 1502,TV Show,Drama,2001,PG,167 min,Australia,3,2000,"#659900",true
Title 1503,Movie,Thriller,1951,PG,3 Seasons,Australia,0,1950,"#FF0000",false
Title 1504,Movie,Documentary,1962,TV-MA,105 min,South Korea,3,1960,"#659900",true
Title 1505,Movie,Romance,2002,G,1 Seasons,Japan,4,2000,"#32CC00",false
Title 1506,Movie,Romance,1958,R,62 min,India,3,1950,"#659900",true
Title 1507,TV Show,Romance,1989,G,1 Seasons,India,3,1980,"#659900",false
Title 1508,Movie,Horror,1998,G,3 Seasons,Japan,2,1990,"#996600",false
Title 1509,TV Show,Horror,1992,TV-14,3 Seasons,Japan,2,1990,"#996600",false
Title 1510,Movie,Comedy,1952,G,1 Seasons,Germany,5,1950,"#00FF00",false
Title 1511,Movie,Sci-Fi,1951,R,139 min,Japan,1,1950,"#CC3300",true
Title 1512,Movie,Documentary,2021,TV-MA,116 min,South Korea,4,2020,"#32CC00",true
Title 1513,Movie,Romance,1963,R,173 min,South Korea,5,1960,"#00FF00",true
Title 1514,TV Show,Documentary,1989,TV-MA,2 Seasons,Germany,4,1980,"#32CC00",false
Title 1515,Movie,Horror,1976,TV-MA,1 Seasons,Australia,3,1970,"#659900",false
Title 1516,Movie,Drama,1984,G,98 min,Germany,1,1980,"#CC3300",true
Title 1517,Movie,Thriller,1969,R,170 min,Canada,2,1960,"#996600",true
Title 1518,Movie,Horror,1975,TV-MA,3 Seasons,Germany,0,1970,"#FF0000",false
Title 1519,Movie,Action,2016,TV-14,60 min,South Korea,5,2010,"#00FF00",true
Title 1520,TV Show,Horror,1998,TV-PG,1 Seasons,United States,1,1990,"#CC3300",false
Title 1521,Movie,Horror,1982,PG,112 min,Canada,4,1980,"#32CC00",true
Title 1522,Movie,Drama,2015,R,3 Seasons,Canada,3,2010,"#659900",false
Title 1523,Movie,Horror,2017,PG-13,1 Seasons,Australia,4,2010,"#32CC00",false
Title 1524,TV Show,Sci-Fi,2016,TV-PG,138 min,United Kingdom,4,2010,"#32CC00",true
Title 1525,Movie,Romance,2023,PG-13,128 min,United States,4,2020,"#32CC00",true
Title 1526,Movie,Horror,1951,TV-14,112 min,Canada,1,1950,"#CC3300",true
Title 1527,TV Show,Drama,1968,R,1 Seasons,South Korea,1,1960,"#CC3300",false
Title 1528,TV Show,Thriller,1978,TV-MA,165 min,India,1,1970,"#CC3300",true
Title 1529,TV Show,Comedy,1980,PG,161 min,Japan,0,1980,"#FF0000",true
Title 1530,TV Show,Horror,1976,PG,3 Seasons,Japan,4,1970,"#32CC00",false
Title 1531,Movie,Comedy,1996,TV-PG,73 min,South Korea,2,1990,"#996600",true
Title 1532,TV Show,Comedy,1973,TV-PG,108 min,Canada,5,1970,"#00FF00",true
Title 1533,TV Show,Drama,1967,R,143 min,Germany,4,1960,"#32CC00",true
Title 1534,Movie,Thriller,2011,PG-13,3 Seasons,South Korea,5,2010,"#00FF00",false
Title 1535,TV Show,Action,2014,TV-MA,3 Seasons,India,5,2010,"#00FF00",false
Title 1536,Movie,Drama,2017,TV-PG,145 min,Australia,1,2010,"#CC3300",true
Title 1537,TV Show,Documentary,1968,R,2 Seasons,Germany,2,1960,"#996600",false
Title 1538,TV Show,Action,1976,PG,173 min,India,3,1970,"#659900",true
Title 1539,TV Show,Thriller,1991,G,111 min,South Korea,5,1990,"#00FF00",true
Title 1540,TV Show,Horror,1988,R,83 min,South Korea,1,1980,"#CC3300",true
Title 1541,TV Show,Romance,1993,TV-14,97 min,United States,3,1990,"#659900",true
Title 1542,TV Show,Comedy,1995,TV-14,150 min,Germany,5,1990,"#00FF00",true
Title 1543,Movie,Thriller,1977,TV-PG,1 Seasons,Canada,2,1970,"#996600",false
Title 1544,Movie,Documentary,1992,PG,97 min,Japan,3,1990,"#659900",true
Title 1545,Movie,Action,1988,PG,144 min,Canada,2,1980,"#996600",true
Title 1546,TV Show,Drama,2010,TV-14,1 Seasons,Canada,0,2010,"#FF0000",false
Title 1547,Movie,Horror,2018,R,3 Seasons,South Korea,4,2010,"#32CC00",false
Title 1548,TV Show,Romance,2019,TV-MA,168 min,Australia,3,2010,"#659900",true
Title 1549,TV Show,Action,2017,TV-PG,3 Seasons,Germany,0,2010,"#FF0000",false
Title 1550,Movie,Drama,1999,TV-MA,65 min,United Kingdom,4,1990,"#32CC00",true
Title 1551,Movie,Horror,1958,G,1 Seasons,United States,2,1950,"#996600",false
Title 1552,TV Show,Horror,2019,R,90 min,Germany,1,2010,"#CC3300",true
Title 1553,TV Show,Thriller,1965,PG-13,133 min,Canada,4,1960,"#32CC00",true
Title 1554,TV Show,Thriller,1983,PG-13,3 Seasons,United Kingdom,1,1980,"#CC3300",false
Title 1555,TV Show,Horror,1994,R,2 Seasons,South Korea,3,1990,"#659900",false
Title 1556,Movie,Drama,1955,TV-14,3 Seasons,United Kingdom,2,1950,"#996600",false
Title 1557,TV Show,Drama,1993,G,3 Seasons,United Kingdom,0,1990,"#FF0000",false
Title 1558,Movie,Documentary,2002,PG-13,69 min,South Korea,2,2000,"#996600",true
Title 1559,Movie,Thriller,1982,R,149 min,India,1,1980,"#CC3300",true
Title 1560,TV Show,Drama,2011,TV-MA,78 min,South Korea,4,2010,"#32CC00",true
Title 1561,TV Show,Action,1998,TV-14,68 min,Germany,5,1990,"#00FF00",true
Title 1562,TV Show,Action,1966,R,3 Seasons,United States,1,1960,"#CC3300",false
Title 1563,Movie,Horror,1960,TV-PG,1 Seasons,United Kingdom,5,1960,"#00FF00",false
Title 1564,Movie,Action,1973,PG,66 min,United States,3,1970,"#659900",true
Title 1565,Movie,Sci-Fi,2014,TV-MA,112 min,India,3,2010,"#659900",true
Title 1566,Movie,Comedy,1969,PG-13,2 Seasons,Japan,2,1960,"#996600",false
Title 1567,Movie,Sci-Fi,1993,TV-MA,179 min,Germany,0,1990,"#FF0000",true
Title 1568,TV Show,Horror,1977,PG-13,74 min,Germany,4,1970,"#32CC00",true
Title 1569,TV Show,Documentary,1994,PG,3 Seasons,South Korea,1,1990,"#CC3300",false
Title 1570,TV Show,Thriller,2023,TV-PG,90 min,Japan,5,2020,"#00FF00",true
Title 1571,TV Show,Drama,1971,TV-PG,1 Seasons,Japan,5,1970,"#00FF00",false
Title 1572,TV Show,Thriller,1977,PG-13,3 Seasons,Australia,2,1970,"#996600",false
Title 1573,Movie,Romance,2006,R,119 min,Japan,1,2000,"#CC3300",true
Title 1574,TV Show,Drama,2004,R,3 Seasons,Germany,5,2000,"#00FF00",false
Title 1575,Movie,Romance,1969,TV-MA,3 Seasons,South Korea,4,1960,"#32CC00",false
Title 1576,Movie,Sci-Fi,1964,TV-MA,2 Seasons,Japan,1,1960,"#CC3300",false
Title 1577,Movie,Horror,1963,TV-PG,3 Seasons,South Korea,5,1960,"#00FF00",false
Title 1578,Movie,Drama,2010,G,1 Seasons,South Korea,3,2010,"#659900",false
Title 1579,Movie,Romance,2016,TV-PG,2 Seasons,India,0,2010,"#FF0000",false
Title 1580,Movie,Horror,1998,PG-13,60 min,United Kingdom,3,1990,"#659900",true
Title 1581,TV Show,Documentary,1987,TV-14,1 Seasons,India,5,1980,"#00FF00",false
Title 1582,TV Show,Drama,1961,G,155 min,Australia,4,1960,"#32CC00",true
Title 1583,Movie,Drama,1967,G,65 min,India,0,1960,"#FF0000",true
Title 1584,TV Show,Sci-Fi,2000,TV-14,1 Seasons,Canada,2,2000,"#996600",false
Title 1585,TV Show,Horror,1995,TV-14,173 min,Canada,1,1990,"#CC3300",true
Title 1586,TV Show,Romance,1955,PG,113 min,Germany,2,1950,"#996600",true
Title 1587,TV Show,Romance,2000,G,2 Seasons,Australia,0,2000,"#FF0000",false
Title 1588,Movie,Drama,2017,PG,95 min,Australia,0,2010,"#FF0000",true
Title 1589,TV Show,Documentary,1999,TV-PG,2 Seasons,Germany,0,1990,"#FF0000",false
Title 1590,TV Show,Comedy,1962,PG,2 Seasons,Canada,5,1960,"#00FF00",false
Title 1591,Movie,Romance,1966,PG-13,137 min,Japan,1,1960,"#CC3300",true
Title 1592,Movie,Romance,1965,PG-13,180 min,United States,4,1960,"#32CC00",true
Title 1593,TV Show,Documentary,1983,R,1 Seasons,India,4,1980,"#32CC00",false
Title 1594,Movie,Horror,1954,TV-MA,94 min,Japan,3,1950,"#659900",true
Title 1595,Movie,Thriller,1971,PG,1 Seasons,Germany,1,1970,"#CC3300",false
Title 1596,Movie,Drama,1953,TV-14,170 min,India,3,1950,"#659900",true
Title 1597,TV Show,Drama,1993,TV-PG,104 min,South Korea,4,1990,"#32CC00",true
Title 1598,TV Show,Drama,1974,PG-13,119 min,Japan,1,1970,"#CC3300",true
Title 1599,TV Show,Sci-Fi,1983,TV-14,111 min,South Korea,4,1980,"#32CC00",true
Title 1600,Movie,Horror,2016,TV-MA,93 min,South Korea,5,2010,"#00FF00",true
Title 1601,Movie,Action,1971,PG,2 Seasons,United Kingdom,4,1970,"#32CC00",false
Title 1602,TV Show,Drama,2015,G,114 min,Canada,1,2010,"#CC3300",true
Title 1603,Movie,Horror,1989,PG,2 Seasons,South Korea,1,1980,"#CC3300",false
Title 1604,Movie,Romance,1969,PG,77 min,South Korea,3,1960,"#659900",true
Title 1605,Movie,Horror,2020,PG-13,130 min,South Korea,4,2020,"#32CC00",true
Title 1606,Movie,Documentary,1985,G,87 min,United Kingdom,2,1980,"#996600",true
Title 1607,Movie,Action,1955,G,1 Seasons,Canada,5,1950,"#00FF00",false
Title 1608,Movie,Sci-Fi,2004,R,160 min,Germany,2,2000,"#996600",true
Title 1609,Movie,Sci-Fi,2019,R,1 Seasons,Japan,1,2010,"#CC3300",false
Title 1610,Movie,Action,2000,TV-PG,104 min,Canada,1,2000,"#CC3300",true
Title 1611,Movie,Drama,2019,R,3 Seasons,India,1,2010,"#CC3300",false
Title 1612,TV Show,Sci-Fi,1974,R,118 min,Australia,0,1970,"#FF0000",true
Title 1613,Movie,Thriller,1966,G,146 min,Canada,2,1960,"#996600",true
Title 1614,Movie,Drama,1992,G,108 min,United States,5,1990,"#00FF00",true
Title 1615,TV Show,Sci-Fi,1972,PG-13,178 min,Canada,4,1970,"#32CC00",true
Title 1616,TV Show,Romance,1979,G,3 Seasons,Canada,1,1970,"#CC3300",false
Title 1617,Movie,Comedy,2002,R,3 Seasons,South Korea,1,2000,"#CC3300",false
Title 1618,TV Show,Horror,2016,G,2 Seasons,United Kingdom,4,2010,"#32CC00",false
Title 1619,TV Show,Action,1951,TV-14,126 min,United Kingdom,5,1950,"#00FF00",true
Title 1620,Movie,Documentary,1950,TV-14,121 min,India,4,1950,"#32CC00",true
Title 1621,TV Show,Sci-Fi,1975,TV-PG,2 Seasons,United States,0,1970,"#FF0000",false
Title 1622,Movie,Action,1967,TV-MA,97 min,Germany,3,1960,"#659900",true
Title 1623,Movie,Thriller,1965,PG,60 min,United States,1,1960,"#CC3300",true
Title 1624,TV Show,Documentary,2013,PG-13,2 Seasons,Australia,1,2010,"#CC3300",false
Title 1625,TV Show,Sci-Fi,1994,G,3 Seasons,Japan,1,1990,"#CC3300",false
Title 1626,TV Show,Thriller,1966,PG,134 min,South Korea,1,1960,"#CC3300",true
Title 1627,TV Show,Sci-Fi,2021,PG-13,3 Seasons,South Korea,1,2020,"#CC3300",false
Title 1628,TV Show,Action,1979,G,3 Seasons,United States,3,1970,"#659900",false
Title 1629,Movie,Thriller,2020,TV-MA,170 min,Japan,4,2020,"#32CC00",true
Title 1630,TV Show,Action,1976,TV-MA,145 min,Japan,5,1970,"#00FF00",true
Title 1631,TV Show,Documentary,1991,TV-PG,119 min,Canada,5,1990,"#00FF00",true
Title 1632,TV Show,Romance,2000,R,2 Seasons,Australia,4,2000,"#32CC00",false
Title 1633,TV Show,Action,2015,PG,84 min,India,2,2010,"#996600",true
Title 1634,Movie,Horror,2020,PG-13,83 min,Canada,1,2020,"#CC3300",true
Title 1635,Movie,Documentary,1991,TV-PG,2 Seasons,South Korea,4,1990,"#32CC00",false
Title 1636,Movie,Documentary,1984,PG,137 min,Canada,4,1980,"#32CC00",true
Title 1637,TV Show,Romance,2000,TV-PG,1 Seasons,South Korea,1,2000,"#CC3300",false
Title 1638,TV Show,Romance,1978,PG-13,136 min,United States,3,1970,"#659900",true
Title 1639,Movie,Action,1953,PG-13,3 Seasons,Canada,4,1950,"#32CC00",false
Title 1640,Movie,Comedy,1990,TV-14,3 Seasons,South Korea,2,1990,"#996600",false
Title 1641,TV Show,Horror,1963,TV-MA,3 Seasons,India,1,1960,"#CC3300",false
Title 1642,TV Show,Comedy,1964,PG,82 min,United States,5,1960,"#00FF00",true
Title 1643,Movie,Romance,2008,PG-13,1 Seasons,Germany,1,2000,"#CC3300",false
Title 1644,Movie,Drama,2016,TV-PG,66 min,Germany,4,2010,"#32CC00",true
Title 1645,Movie,Thriller,1968,PG-13,70 min,Japan,1,1960,"#CC3300",true
Title 1646,Movie,Comedy,1994,G,177 min,India,0,1990,"#FF0000",true
Title 1647,TV Show,Comedy,2011,TV-14,2 Seasons,Australia,3,2010,"#659900",false
Title 1648,TV Show,Comedy,1961,G,3 Seasons,United States,0,1960,"#FF0000",false
Title 1649,TV Show,Documentary,2015,TV-PG,89 min,Canada,3,2010,"#659900",true
Title 1650,TV Show,Action,2018,G,170 min,Germany,0,2010,"#FF0000",true
Title 1651,TV Show,Thriller,1994,PG-13,71 min,Germany,4,1990,"#32CC00",true
Title 1652,TV Show,Thriller,1968,TV-14,63 min,United States,1,1960,"#CC3300",true
Title 1653,Movie,Romance,2012,G,2 Seasons,Canada,3,2010,"#659900",false
Title 1654,TV Show,Romance,2012,PG,3 Seasons,Canada,5,2010,"#00FF00",false
Title 1655,Movie,Documentary,1983,PG,168 min,Germany,2,1980,"#996600",true
Title 1656,TV Show,Comedy,1952,R,2 Seasons,United States,3,1950,"#659900",false
Title 1657,Movie,Romance,2004,PG-13,2 Seasons,South Korea,2,2000,"#996600",false
Title 1658,TV Show,Action,1976,TV-PG,2 Seasons,Canada,3,1970,"#659900",false
Title 1659,Movie,Thriller,1979,TV-14,90 min,Canada,5,1970,"#00FF00",true
Title 1660,TV Show,Sci-Fi,2001,G,174 min,Australia,0,2000,"#FF0000",true
Title 1661,Movie,Romance,1998,PG,1 Seasons,Japan,3,1990,"#659900",false
Title 1662,TV Show,Horror,1965,PG-13,2 Seasons,United States,4,1960,"#32CC00",false
Title 1663,TV Show,Documentary,1959,TV-14,3 Seasons,India,3,1950,"#659900",false
Title 1664,TV Show,Thriller,1957,TV-PG,161 min,Canada,4,1950,"#32CC00",true
Title 1665,Movie,Drama,1981,PG-13,3 Seasons,Germany,5,1980,"#00FF00",false
Title 1666,TV Show,Romance,2009,R,1 Seasons,South Korea,3,2000,"#659900",false
Title 1667,Movie,Comedy,1993,TV-MA,147 min,Australia,1,1990,"#CC3300",true
Title 1668,TV Show,Comedy,1991,PG-13,3 Seasons,Australia,4,1990,"#32CC00",false
Title 1669,TV Show,Action,1993,G,125 min,India,3,1990,"#659900",true
Title 1670,Movie,Thriller,1951,TV-MA,106 min,India,2,1950,"#996600",true
Title 1671,TV Show,Drama,1981,TV-PG,1 Seasons,United States,0,1980,"#FF0000",false
Title 1672,TV Show,Action,1999,G,64 min,United States,4,1990,"#32CC00",true
Title 1673,TV Show,Documentary,1962,G,163 min,Germany,1,1960,"#CC3300",true
Title 1674,Movie,Comedy,1997,PG,75 min,United States,1,1990,"#CC3300",true
Title 1675,TV Show,Romance,2005,TV-14,84 min,South Korea,4,2000,"#32CC00",true
Title 1676,TV Show,Sci-Fi,1966,G,1 Seasons,Germany,5,1960,"#00FF00",false
Title 1677,TV Show,Documentary,1993,PG,1 Seasons,Japan,2,1990,"#996600",false
Title 1678,TV Show,Action,1998,G,1 Seasons,United States,5,1990,"#00FF00",false
Title 1679,TV Show,Sci-Fi,2015,R,2 Seasons,Germany,2,2010,"#996600",false
Title 1680,Movie,Comedy,1990,R,60 min,United Kingdom,3,1990,"#659900",true
Title 1681,Movie,Drama,1967,TV-PG,156 min,Canada,2,1960,"#996600",true
Title 1682,TV Show,Drama,1996,PG-13,2 Seasons,Australia,3,1990,"#659900",false
Title 1683,Movie,Action,2001,G,1 Seasons,India,0,2000,"#FF0000",false
Title 1684,TV Show,Documentary,1952,TV-14,1 Seasons,Australia,1,1950,"#CC3300",false
Title 1685,Movie,Thriller,2013,R,156 min,Canada,1,2010,"#CC3300",true
Title 1686,TV Show,Thriller,1957,PG-13,162 min,Australia,5,1950,"#00FF00",true
Title 1687,Movie,Action,1970,PG-13,2 Seasons,Japan,2,1970,"#996600",false
Title 1688,TV Show,Horror,1988,G,113 min,Germany,1,1980,"#CC3300",true
Title 1689,Movie,Thriller,1965,PG,2 Seasons,United Kingdom,3,1960,"#659900",false
Title 1690,TV Show,Sci-Fi,1961,R,2 Seasons,Germany,2,1960,"#996600",false
Title 1691,Movie,Thriller,1972,G,124 min,United States,3,1970,"#659900",true
Title 1692,Movie,Drama,1972,TV-MA,3 Seasons,United Kingdom,1,1970,"#CC3300",false
Title 1693,Movie,Thriller,1970,R,111 min,Japan,3,1970,"#659900",true
Title 1694,Movie,Drama,2021,G,3 Seasons,South Korea,2,2020,"#996600",false
Title 1695,Movie,Romance,1979,TV-MA,3 Seasons,Australia,4,1970,"#32CC00",false
Title 1696,TV Show,Action,1950,G,156 min,Canada,3,1950,"#659900",true
Title 1697,Movie,Documentary,2006,TV-PG,1 Seasons,Germany,3,2000,"#659900",false
Title 1698,Movie,Romance,1996,PG,2 Seasons,United Kingdom,3,1990,"#659900",false
Title 1699,TV Show,Drama,1989,TV-14,2 Seasons,United Kingdom,2,1980,"#996600",false
Title 1700,TV Show,Documentary,2016,TV-PG,145 min,United Kingdom,3,2010,"#659900",true
Title 1701,Movie,Romance,2020,TV-PG,75 min,Germany,2,2020,"#996600",true
Title 1702,TV Show,Documentary,1986,PG,3 Seasons,Australia,1,1980,"#CC3300",false
Title 1703,TV Show,Sci-Fi,1959,G,176 min,Canada,4,1950,"#32CC00",true
Title 1704,Movie,Thriller,1997,TV-PG,173 min,India,3,1990,"#659900",true
Title 1705,Movie,Thriller,1953,PG,3 Seasons,South Korea,0,1950,"#FF0000",false
Title 1706,TV Show,Comedy,2003,TV-PG,77 min,Japan,5,2000,"#00FF00",true
Title 1707,Movie,Thriller,1951,PG,94 min,Germany,1,1950,"#CC3300",true
Title 1708,TV Show,Drama,1975,R,1 Seasons,Germany,1,1970,"#CC3300",false
Title 1709,Movie,Thriller,1984,PG,2 Seasons,Japan,0,1980,"#FF0000",false
Title 1710,TV Show,Thriller,1995,R,170 min,Japan,4,1990,"#32CC00",true
Title 1711,Movie,Drama,2019,PG,1 Seasons,South Korea,1,2010,"#CC3300",false
Title 1712,Movie,Horror,1953,PG-13,3 Seasons,Australia,2,1950,"#996600",false
Title 1713,TV Show,Comedy,1976,G,101 min,Australia,0,1970,"#FF0000",true
Title 1714,Movie,Thriller,1988,TV-14,1 Seasons,India,1,1980,"#CC3300",false
Title 1715,Movie,Sci-Fi,1969,PG-13,1 Seasons,Germany,1,1960,"#CC3300",false
Title 1716,Movie,Thriller,2023,PG-13,74 min,Japan,2,2020,"#996600",true
